happy joy love / sad,empathy / apathy,hope / despair,agree / disagree,compliment praise / criticize,calm / concern fear anxiety,comfort / pain discomfort,surprise awe / ,satisfaction / , / frustration anger, / annoyance
108.14411116,103.758371676,33.6956799593,2.40299966531,152.965693628,-94.7163844703,-33.028333667,104.607503166,53.4373834795,-102.854547501,24.3548153463
109.299225546,104.892325296,34.0312471167,2.41981483837,154.623609297,-95.7803082205,-33.467338753,105.749125113,54.0175813073,-103.984332861,24.5982104545
111.586639554,107.113858288,34.7731433498,2.4610556748,157.947010676,-97.7517003946,-34.1069254382,107.947891541,55.146410417,-106.141974803,25.1454934037
108.549110618,104.1479319,33.7997712729,2.40577617993,153.528442446,-95.0708065243,-33.1472420035,104.995461961,53.6394297984,-103.237602575,24.4224388628
110.552679544,106.113159222,34.4597142298,2.45141776588,156.457743876,-96.7872911039,-33.7141717392,106.918003567,54.633917839,-105.126180884,24.9116540944
111.737111985,107.261765607,34.8131407859,2.46485114116,158.147995215,-97.8592828809,-34.1654313066,108.081092936,55.2248345156,-106.280531052,25.165531165
111.976676811,107.464651699,34.8447588931,2.47328649692,158.39802389,-98.1032666774,-34.2797404561,108.322285259,55.347864886,-106.528387312,25.1686446832
111.508411599,106.951964205,34.6224660143,2.46811726997,157.577391235,-97.7227498786,-34.2121355784,107.86935689,55.115729076,-106.092329853,24.982604507
111.346160755,106.767946639,34.539589409,2.47557164937,157.275450391,-97.5827664638,-34.181117731,107.709866863,55.0292771022,-105.927867012,24.9169955295
111.346160755,106.767946639,34.539589409,2.47557164937,157.275450391,-97.5827664638,-34.181117731,107.709866863,55.0292771022,-105.927867012,24.9169955295
105.496951082,101.175086667,32.7361562992,2.35232134815,149.03333725,-92.4690812833,-32.4105952647,102.056450857,52.1462630792,-100.380767857,23.6178666469
99.1260321788,95.1200213014,30.7920540149,2.20085510978,140.118391293,-86.9358993196,-30.4689195368,95.9279149075,49.0017984676,-94.3504401129,22.2200909907
99.1260321788,95.1200213014,30.7920540149,2.20085510978,140.118391293,-86.9358993196,-30.4689195368,95.9279149075,49.0017984676,-94.3504401129,22.2200909907
96.6610791493,92.7660482105,30.0105428457,2.13654563473,136.652669139,-84.7934759009,-29.7257862483,93.5529218126,47.7869915605,-92.0203533723,21.6507149098
96.8513452419,92.9407426191,30.0869820949,2.14020630794,136.933865105,-84.9115346756,-29.7573250992,93.7188640807,47.8749947635,-92.1723426737,21.711889985
96.0312939455,92.1148241314,29.782637332,2.12985321312,135.672027158,-84.2336851496,-29.5567979051,92.9319845857,47.4661595415,-91.3986778411,21.4797718115
94.4765840323,90.6379448156,29.326252516,2.08917977738,133.516603045,-82.8421009823,-29.0543347424,91.4121604054,46.6918562659,-89.9018319857,21.1702679325
94.014705872,90.1865602374,29.1637931613,2.07946014473,132.84524878,-82.4479477069,-28.9289542196,90.9692234746,46.4641160224,-89.4658531309,21.048862202
94.014705872,90.1865602374,29.1637931613,2.07946014473,132.84524878,-82.4479477069,-28.9289542196,90.9692234746,46.4641160224,-89.4658531309,21.048862202
93.6802348857,89.8548924529,29.0460057444,2.07055653836,132.347221982,-82.1652949136,-28.8400656535,90.6503574656,46.2996849809,-89.1530706046,20.9498167125
92.9353292443,89.1468751552,28.8255897613,2.06049321298,131.310448986,-81.5120057404,-28.5961594671,89.934753429,45.9335372302,-88.442967937,20.7888818698
94.8364215522,91.0071930869,29.4706839694,2.10377069563,134.1046713,-83.1302568192,-29.1221259843,91.7690819351,46.8718260994,-90.2296514918,21.2771427554
94.5469172359,90.7074462271,29.355283753,2.09262032827,133.644648988,-82.867118196,-29.0509027296,91.4827720903,46.7275963495,-89.9511352263,21.1789662506
95.9415806587,92.0614538575,29.815911224,2.12312485408,135.665803829,-84.0556685649,-29.4379440873,92.8187510832,47.4171412095,-91.2596622551,21.5197314163
95.9415806587,92.0614538575,29.815911224,2.12312485408,135.665803829,-84.0556685649,-29.4379440873,92.8187510832,47.4171412095,-91.2596622551,21.5197314163
95.395708736,91.5377437374,29.6434895823,2.11448224477,134.89441349,-83.5782607641,-29.2815831238,92.2897351537,47.1489713305,-90.7427491509,21.3930289749
93.38248321,89.6167848187,29.0721032355,2.07304916461,132.104809108,-81.7573324422,-28.5616833108,90.3135554891,46.1453750754,-88.7906170348,20.9991705533
93.38248321,89.6167848187,29.0721032355,2.07304916461,132.104809108,-81.7573324422,-28.5616833108,90.3135554891,46.1453750754,-88.7906170348,20.9991705533
92.7813611511,89.041654104,28.8845833185,2.05862288725,131.255024575,-81.2265333993,-28.3761073592,89.7315509727,45.8493278892,-88.2184834034,20.8666511146
94.4401109963,90.6744808699,29.41347574,2.08224610391,133.692954981,-82.7020180695,-28.928787078,91.3547995343,46.6770544062,-89.8178712963,21.2580288081
94.4401109963,90.6744808699,29.41347574,2.08224610391,133.692954981,-82.7020180695,-28.928787078,91.3547995343,46.6770544062,-89.8178712963,21.2580288081
94.4643952069,90.6953633116,29.4128198964,2.08194020053,133.723698124,-82.72607172,-28.9315677713,91.3766842562,46.6886424093,-89.8412313169,21.2546700661
97.4167097751,93.5794397027,30.3791983927,2.14442601043,138.037658507,-85.2770600733,-29.7669644203,94.2260824595,48.1482679733,-92.6376004938,21.9838952444
98.9402281632,95.0648421494,30.87569255,2.17703547052,140.257820756,-86.5927221712,-30.1991660279,95.6961043026,48.9011001277,-94.0796953854,22.357133773
98.2705687818,94.4154849306,30.6511521924,2.16037166689,139.294537337,-86.0130681758,-30.0126258762,95.0523310038,48.5693616604,-93.4483429718,22.1907674406
98.2705687818,94.4154849306,30.6511521924,2.16037166689,139.294537337,-86.0130681758,-30.0126258762,95.0523310038,48.5693616604,-93.4483429718,22.1907674406
98.2705687818,94.4154849306,30.6511521924,2.16037166689,139.294537337,-86.0130681758,-30.0126258762,95.0523310038,48.5693616604,-93.4483429718,22.1907674406
98.2705687818,94.4154849306,30.6511521924,2.16037166689,139.294537337,-86.0130681758,-30.0126258762,95.0523310038,48.5693616604,-93.4483429718,22.1907674406
96.9200659791,93.0975461176,30.1980273109,2.12871037566,137.314256895,-84.8654802766,-29.6421459283,93.7604350816,47.9019708112,-92.1841680401,21.8532630152
101.01836031,97.0587524445,31.5634217802,2.2247009354,143.204331043,-88.4154318277,-30.8330881675,97.7122634561,49.9236355409,-96.0569017457,22.8697571949
101.01836031,97.0587524445,31.5634217802,2.2247009354,143.204331043,-88.4154318277,-30.8330881675,97.7122634561,49.9236355409,-96.0569017457,22.8697571949
100.75469071,96.8069829485,31.4840907317,2.21921527792,142.833487832,-88.184629539,-30.7521854482,97.4557790979,49.7936217701,-95.8061828896,22.8140092728
100.75469071,96.8069829485,31.4840907317,2.21921527792,142.833487832,-88.184629539,-30.7521854482,97.4557790979,49.7936217701,-95.8061828896,22.8140092728
100.516128896,96.5743400741,31.4114924562,2.2146535643,142.48909508,-87.9709517897,-30.6715628442,97.2230692227,49.6753291606,-95.5765502286,22.7596003409
102.343345753,98.3772596625,32.0072276082,2.23944501977,145.184278516,-89.5813109657,-31.2699040752,99.0064116287,50.5882656478,-97.333608847,23.1976791021
103.139471694,99.1634476522,32.2715647304,2.25665110401,146.367320851,-90.2777656928,-31.5092004017,99.7780129253,50.9832361417,-98.0943731629,23.398887728
103.741948643,99.7638015789,32.4454643234,2.2577935721,147.257060694,-90.8498772289,-31.7753630687,100.385618687,51.289474124,-98.7000697517,23.5246611389
101.597349056,97.7436853612,31.807412804,2.1912179023,144.327342429,-88.9873569938,-31.1166471064,98.3164634587,50.2355599944,-96.6763034724,23.0794056782
97.7971093996,94.1165848384,30.6214564292,2.10188289076,138.987727381,-85.7004936641,-29.9821174393,94.6545543655,48.3669757177,-93.0918171626,22.2145645004
96.4590185829,92.8414741753,30.2183802111,2.06949405318,137.113244486,-84.5052661146,-29.5616029726,93.3618636865,47.7046522765,-91.814812527,21.9324482057
95.0624826449,91.4936045522,29.7764654976,2.03773475532,135.117983738,-83.2694886683,-29.1352762328,92.0140159894,47.0116457114,-90.481434521,21.609802818
95.3542415161,91.7694194001,29.8670403302,2.04572863822,135.525350973,-83.5171367764,-29.2213186002,92.2907248441,47.1545779034,-90.7522661846,21.6757078282
93.7528896769,90.2261257613,29.3671994354,2.01410880703,133.242737509,-82.100488715,-28.7329362725,90.7353652831,46.3652703189,-89.2246425592,21.3024658438
92.5618974085,89.1116177454,29.0469127092,1.98521810056,131.644715129,-81.00187712,-28.314499008,89.5681599793,45.7708939951,-88.0609997712,21.0963822462
89.1103032316,85.7516257315,27.9121855468,1.91408515358,126.623656647,-78.0157678086,-27.3346789851,86.2356708649,44.0642964342,-84.7920972147,20.255884313
87.0826830303,83.7656441677,27.2271688057,1.87281317383,123.641386771,-76.2845381025,-26.7889103551,84.2861354505,43.0617972764,-82.8831202238,19.745975416
85.9712095764,82.6876448817,26.8590825533,1.85046081886,122.041547478,-75.318599488,-26.4676453129,83.2085437454,42.5147458763,-81.8309910676,19.4731418666
85.9712095764,82.6876448817,26.8590825533,1.85046081886,122.041547478,-75.318599488,-26.4676453129,83.2085437454,42.5147458763,-81.8309910676,19.4731418666
84.1494922665,80.9109227905,26.2272469302,1.81340376341,119.389575583,-73.7637113883,-25.9792069086,81.4553646993,41.6191243411,-80.1176539078,18.9974703851
83.9924804955,80.7580241234,26.1769876813,1.81005901832,119.163215334,-73.6250015169,-25.9305006749,81.3029139579,41.5415118069,-79.967575097,18.9596781153
83.9924804955,80.7580241234,26.1769876813,1.81005901832,119.163215334,-73.6250015169,-25.9305006749,81.3029139579,41.5415118069,-79.967575097,18.9596781153
82.3796976605,79.2077102645,25.6705227806,1.77726137854,116.865653938,-72.2148143865,-25.4682382428,79.7451845958,40.7466038476,-78.439265769,18.5958901899
84.0225089504,80.7461064506,26.0702498908,1.81104182541,119.075447766,-73.7462399022,-26.0725176574,81.3568734474,41.5681599496,-80.0470633409,18.8510789531
83.9778019371,80.7289213405,26.0744437824,1.80768944438,119.063624156,-73.7184699996,-26.0378753104,81.3239007835,41.5504046215,-80.0168460767,18.8606110661
82.0175031527,78.8619399387,25.4583421548,1.75817764866,116.31887616,-72.0071665862,-25.4332013828,79.4383827205,40.584833205,-78.1638700491,18.4115939983
81.8206778005,78.6668403385,25.3870017289,1.7533985022,116.028457164,-71.8354757084,-25.3729205095,79.2496266598,40.4877704059,-77.9790421508,18.3571525223
82.2113662699,79.0414921394,25.507952232,1.76493080097,116.580277286,-72.1764311217,-25.4900752486,79.6254313043,40.6809984458,-78.3481147617,18.444854336
82.2113662699,79.0414921394,25.507952232,1.76493080097,116.580277286,-72.1764311217,-25.4900752486,79.6254313043,40.6809984458,-78.3481147617,18.444854336
82.2113662699,79.0414921394,25.507952232,1.76493080097,116.580277286,-72.1764311217,-25.4900752486,79.6254313043,40.6809984458,-78.3481147617,18.444854336
82.5586403025,79.379800224,25.6179530824,1.77293841385,117.082562536,-72.4805660136,-25.5933353712,79.9627260936,40.85256616,-78.6790022007,18.5270915305
83.8182663397,80.6098722869,26.0638779463,1.80574491099,118.924422875,-73.5495859931,-25.9310570483,81.1741343775,41.4727345463,-79.8601536658,18.8608113869
82.032516616,78.9295255147,25.5810153453,1.76164194091,116.509168971,-71.9267278394,-25.3221976111,79.4286135765,40.5841077696,-78.1320869679,18.5381377674
82.032516616,78.9295255147,25.5810153453,1.76164194091,116.509168971,-71.9267278394,-25.3221976111,79.4286135765,40.5841077696,-78.1320869679,18.5381377674
80.1564369064,77.0997285266,24.9483460622,1.72561275134,113.772684446,-70.3181816102,-24.8129441779,77.6209202587,39.6586982053,-76.3641477112,18.0670163239
81.6149210001,78.5389126528,25.4839763497,1.75563154108,115.948698323,-71.5399648389,-25.180697754,79.01992663,40.3786509057,-77.7284229066,18.4705667211
80.7017768271,77.6658088131,25.1968360831,1.7354943219,114.665058735,-70.7510030853,-24.902448297,78.1434766858,39.9317327239,-76.865231777,18.2604657179
73.4155168498,70.7527903482,23.037480242,1.55943737618,104.554489392,-64.3122600533,-22.5914491177,71.0910521417,36.3303596527,-69.917321118,16.7345043454
73.4155168498,70.7527903482,23.037480242,1.55943737618,104.554489392,-64.3122600533,-22.5914491177,71.0910521417,36.3303596527,-69.917321118,16.7345043454
73.9559631074,71.2717684978,23.2053561115,1.57355306392,105.315389415,-64.7869622405,-22.7509511788,71.6104492837,36.5987114841,-70.4287914639,16.8548657797
74.9989168795,72.3015352698,23.569137591,1.5929693044,106.863380711,-65.6740292249,-23.0229443724,72.6099964778,37.1143541956,-71.4110512735,17.1304726714
73.1395946565,70.5559583742,23.0519305698,1.54906673079,104.320617636,-64.0174352313,-22.4101411937,70.7969251624,36.1939778679,-69.6229579052,16.7840723503
75.0367155235,72.4215457072,23.6280767427,1.57061515054,107.097692861,-65.7287737673,-23.0811125314,72.6644004901,37.1438201575,-71.4697823995,17.2120098582
73.7908368714,71.2125269855,23.2356439821,1.54411233578,105.303173779,-64.6275753712,-22.6963017827,71.4539972208,36.5283720443,-70.2775610116,16.9189196885
73.2553307064,70.6848856636,23.0966509333,1.54470198189,104.527306626,-64.1011677538,-22.4400186265,70.9095660674,36.2555845282,-69.7331030737,16.825166512
71.3018273022,68.8648033285,22.5662235056,1.48828263598,101.936187732,-62.3401931403,-21.7781493114,69.0000217975,35.2853514516,-67.8465322011,16.4820242351
71.3115764998,68.937529024,22.6125152418,1.47787046008,102.094799004,-62.3651704768,-21.8079574783,69.0262028585,35.3001435957,-67.8738261128,16.5381645803
70.1513090089,67.8091376848,22.2076464232,1.4568095784,100.383958914,-61.426240896,-21.5149845949,67.9337306179,34.7304776596,-66.8096735065,16.2214268633
70.1513090089,67.8091376848,22.2076464232,1.4568095784,100.383958914,-61.426240896,-21.5149845949,67.9337306179,34.7304776596,-66.8096735065,16.2214268633
69.015194043,66.7119749108,21.8507617053,1.4326737036,98.750810778,-60.435758866,-21.1839014577,66.8381123168,34.1689849934,-65.7333554083,15.9650055311
69.3903147401,67.0788953229,21.9864892461,1.44328399838,99.3009689629,-60.7545373068,-21.2835066962,67.2003571692,34.3534571048,-66.0850123951,16.0661994649
67.0261219779,64.8451642345,21.2731527963,1.39557184814,96.0311747253,-58.6942613434,-20.56534763,64.921484003,33.1903616043,-63.8486572072,15.5598152839
68.0482101971,65.8512148175,21.6419040726,1.41697025957,97.5433525513,-59.5672315752,-20.8224120772,65.9046633867,33.6912804998,-64.807540072,15.8538656112
67.914081802,65.7399743077,21.6244933717,1.40994065858,97.4023340984,-59.4092116985,-20.7382137749,65.7663405315,33.6233883423,-64.6626347476,15.8500722481
68.3905228115,66.2129220122,21.7584287005,1.40893760763,98.1033208635,-59.8645758206,-20.9575915057,66.2503741925,33.8662430767,-65.1443654793,15.9445409027
69.9077748745,67.6616342501,22.2278092919,1.44580736026,100.255962761,-61.1809409152,-21.4275239615,67.7055057996,34.6109458519,-66.579079227,16.2875043292
70.6180220814,68.3470574108,22.4696583925,1.46013951904,101.275847615,-61.805216819,-21.6269213027,68.388924296,34.9590831288,-67.2493501072,16.4672640914
70.3458397497,68.0879863568,22.3666403822,1.44558512607,100.892610754,-61.6151418923,-21.565643485,68.1392298957,34.8287680911,-67.0173828359,16.3957859032
72.2264493367,69.8582945126,22.9093503279,1.49342872983,103.474249018,-63.2836559893,-22.1806766555,69.9588583744,35.757724667,-68.8195988503,16.7684371407
74.655739103,72.1387172671,23.6425750205,1.55693434612,106.81473126,-65.3894053711,-22.8788621227,72.2868637803,36.9542240018,-71.1176254385,17.2781808901
74.655739103,72.1387172671,23.6425750205,1.55693434612,106.81473126,-65.3894053711,-22.8788621227,72.2868637803,36.9542240018,-71.1176254385,17.2781808901
74.703820083,72.1839913876,23.6552362261,1.55839660888,106.880833243,-65.4333307476,-22.8941858863,72.3332427322,36.9781072017,-71.1636990343,17.2876526479
74.703820083,72.1839913876,23.6552362261,1.55839660888,106.880833243,-65.4333307476,-22.8941858863,72.3332427322,36.9781072017,-71.1636990343,17.2876526479
77.4823537988,74.8056216267,24.4826821891,1.62798816878,110.722634644,-67.882742792,-23.7752376227,75.0098310908,38.3481635567,-73.8008902177,17.8681235626
77.5533955647,74.8720356362,24.5028706433,1.6293908936,110.819947588,-67.9479368439,-23.8005337622,75.0792564551,38.3834098566,-73.8712124085,17.8803387719
78.4926686334,75.7960256086,24.8301587263,1.65042803358,112.205391581,-68.7548905251,-24.0633694286,75.9867407386,38.8471279664,-74.7599576308,18.1273234739
78.4926686334,75.7960256086,24.8301587263,1.65042803358,112.205391581,-68.7548905251,-24.0633694286,75.9867407386,38.8471279664,-74.7599576308,18.1273234739
78.8163266561,76.1243717686,24.9679625418,1.65790986632,112.709226473,-69.0152683988,-24.1284524277,76.2956577955,39.0059121177,-75.0568370364,18.2358274362
78.8163266561,76.1243717686,24.9679625418,1.65790986632,112.709226473,-69.0152683988,-24.1284524277,76.2956577955,39.0059121177,-75.0568370364,18.2358274362
74.511576206,72.0070875485,23.6161298066,1.57055091122,106.631041043,-65.2796897672,-22.8575368415,72.1501759841,36.886076521,-70.9868419524,17.2486209789
74.511576206,72.0070875485,23.6161298066,1.57055091122,106.631041043,-65.2796897672,-22.8575368415,72.1501759841,36.886076521,-70.9868419524,17.2486209789
70.9697341804,68.6186059719,22.5733939856,1.49815968967,101.67310185,-62.1024180144,-21.6476112374,68.6904614459,35.126226002,-67.5665289728,16.5178047458
70.9697341804,68.6186059719,22.5733939856,1.49815968967,101.67310185,-62.1024180144,-21.6476112374,68.6904614459,35.126226002,-67.5665289728,16.5178047458
70.9697341804,68.6186059719,22.5733939856,1.49815968967,101.67310185,-62.1024180144,-21.6476112374,68.6904614459,35.126226002,-67.5665289728,16.5178047458
70.7344523955,68.3892900181,22.5600023122,1.5034893282,101.367879485,-61.8290383634,-21.4624056668,68.4436354119,35.0011214969,-67.3081251508,16.5137012252
70.5854029826,68.2457739278,22.5197289004,1.49946864009,101.160498735,-61.6885075965,-21.4084848546,68.2942221968,34.9262599771,-67.1610198821,16.4860108053
68.2979889746,66.0242409354,21.7778326672,1.45822780365,97.8370973558,-59.7171154224,-20.7688981694,66.0954557687,33.7974308674,-65.0033779399,15.9387278562
67.7638898793,65.5071974991,21.6147289034,1.44215787155,97.0888627463,-59.2525135664,-20.6126700512,65.5845360765,33.5338197134,-64.5029377584,15.8177852567
64.2880578315,62.1223959898,20.463710018,1.37272125976,92.0379800302,-56.2672185925,-19.6197471272,62.2387901254,31.8174616779,-61.2197391103,14.9598503759
64.5642632217,62.3596825599,20.5794508664,1.39299862536,92.4077879916,-56.4226764737,-19.597933988,62.4594466136,31.9391231596,-61.4213448108,15.0542128048
64.5642632217,62.3596825599,20.5794508664,1.39299862536,92.4077879916,-56.4226764737,-19.597933988,62.4594466136,31.9391231596,-61.4213448108,15.0542128048
62.5313272662,60.4543488341,19.9783674145,1.34059586431,89.6326690287,-54.6689534308,-18.9770366055,60.5092309893,30.9421808552,-59.5131635336,14.6310734398
62.5313272662,60.4543488341,19.9783674145,1.34059586431,89.6326690287,-54.6689534308,-18.9770366055,60.5092309893,30.9421808552,-59.5131635336,14.6310734398
62.5313272662,60.4543488341,19.9783674145,1.34059586431,89.6326690287,-54.6689534308,-18.9770366055,60.5092309893,30.9421808552,-59.5131635336,14.6310734398
62.3184962218,60.2545845963,19.9142185777,1.33239466242,89.3388916152,-54.4910538535,-18.9176008585,60.3082937865,30.8388452672,-59.3178821166,14.5866159286
62.3184962218,60.2545845963,19.9142185777,1.33239466242,89.3388916152,-54.4910538535,-18.9176008585,60.3082937865,30.8388452672,-59.3178821166,14.5866159286
62.3184962218,60.2545845963,19.9142185777,1.33239466242,89.3388916152,-54.4910538535,-18.9176008585,60.3082937865,30.8388452672,-59.3178821166,14.5866159286
61.5041130416,59.5064237338,19.6908329125,1.31129311152,88.2606271847,-53.7823229747,-18.6473230555,59.5285401629,30.4372621534,-58.5484507805,14.4382219953
60.9172426608,58.9399943925,19.505945368,1.29907800001,87.4220031092,-53.2700154609,-18.4705179281,58.9568630364,30.1471529392,-57.9886275965,14.3054952347
59.0040652811,57.0810350938,18.8694178095,1.25435103639,84.6542838571,-51.6044767787,-17.9162970647,57.1091088653,29.205856834,-56.1770469453,13.8189872835
58.6268725112,56.7174308811,18.7573322964,1.24716756631,84.1195882899,-51.258710804,-17.7925782211,56.7393661864,29.0184909884,-55.8086897387,13.7357897269
58.6268725112,56.7174308811,18.7573322964,1.24716756631,84.1195882899,-51.258710804,-17.7925782211,56.7393661864,29.0184909884,-55.8086897387,13.7357897269
58.264517999,56.3660781808,18.6430227738,1.24006735731,83.596227846,-50.9368678488,-17.6811640518,56.3833517622,28.8389749487,-55.4594110703,13.6548065021
57.5676925005,55.683057696,18.4109258344,1.22406354193,82.5748406039,-50.3323721003,-17.4808613165,55.7084713292,28.4950278675,-54.7973498755,13.4747777878
57.2961764415,55.4195777851,18.3213289495,1.21718933966,82.1850727961,-50.0973329914,-17.4005742196,55.4426203127,28.3606722995,-54.539079709,13.411052946
54.4158041549,52.5983243164,17.3178465816,1.15219876196,77.9538535585,-47.6509614063,-16.6198522787,52.6724030609,26.9406695997,-51.8331252201,12.6519832652
53.905426998,52.1189339219,17.1657902818,1.14424145276,77.2538530359,-47.2111663608,-16.4581571225,52.1869620982,26.6912160551,-51.3529809288,12.5421563469
52.5107635752,50.7649262915,16.7051628109,1.11373692695,75.2326981943,-46.0226159919,-16.0711157649,50.8509831053,26.0016711951,-50.0444539,12.2013911811
